Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,DraftKings,185,-230,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,William Hill (US),165,-200,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,BetMGM,185,-250,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,GTbets,191,-252,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,Circa Sports,128,-157,Boston Celtics,Golden State Warriors
Boston Celtics_Golden State Warriors,2022-12-11T01:41:06.000Z,Live,Bovada,190,-260,Boston Celtics,Golden State Warriors
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,FanDuel,-770,440,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,MyBookie.ag,-714,460,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,PointsBet (US),-600,500,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,Betfair,-625,540,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,SugarHouse,-560,390,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,Barstool Sportsbook,-560,390,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,Unibet,-560,390,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,TwinSpires,-560,390,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,FOX Bet,-1000,475,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,DraftKings,-710,480,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,William Hill (US),-600,420,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,BetMGM,-650,400,Denver Nuggets,Utah Jazz
Denver Nuggets_Utah Jazz,2022-12-11T02:11:02.000Z,Live,GTbets,-823,518,Denver Nuggets,Utah Jazz
